JANUS CAPITAL MANAGEMENT LLC
20160930
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt - sshPrnamt	shrsOrPrnAmt - sshPrnamtType	investmentDiscretion	otherManager	votingAuthority - Sole	votingAuthority - Shared	votingAuthority - None
ADOBE SYSTEMS INC	COM	00724F101	220806	2034330	SH	DFND	1	1448530	0	585800
ADOBE SYSTEMS INC	COM	00724F101	1269559	11696852	SH	SOLE	 	11085597	0	592968
ADURO BIOTECH INC	COM	00739L101	10500	844768	SH	SOLE	 	844768	0	0
ADVANCE AUTO PARTS INC	COM	00751Y106	3281	22000	SH	DFND	1	16200	0	5800
ADVANCEPIERRE FOODS HOLDINGS	COM	00782L107	39864	1446454	SH	SOLE	 	1352489	0	93965
ADVISORY BOARD CO/THE	COM	00762W107	95709	2139215	SH	SOLE	 	1954871	0	184344
AECOM	COM	00766T100	6731	226400	SH	DFND	1	72500	0	153900
AERCAP HOLDINGS NV	COM	N00985106	689	17900	SH	DFND	1	17900	0	0
AEROVIRONMENT INC	COM	008073108	32117	1315739	SH	SOLE	 	1315739	0	0
AES CORP	COM	00130H105	5774	449300	SH	DFND	1	409400	0	39900
AETNA INC	COM	00817Y108	166021	1438031	SH	DFND	1	1161727	0	276304
AETNA INC	COM	00817Y108	454943	3940588	SH	SOLE	 	3709632	0	230956
AFFILIATED MANAGERS GROUP	COM	008252108	927	6408	SH	DFND	1	2708	0	3700
AFFILIATED MANAGERS GROUP	COM	008252108	0	3	SH	SOLE	 	3	0	0
AFLAC INC	COM	001055102	67877	944444	SH	DFND	1	762944	0	181500
AFLAC INC	COM	001055102	1	17	SH	SOLE	 	17	0	0
AGCO CORP	COM	001084102	8740	177200	SH	DFND	1	118400	0	58800
AGILENT TECHNOLOGIES INC	COM	00846U101	88035	1869498	SH	DFND	1	1421098	0	448400
AGILENT TECHNOLOGIES INC	COM	00846U101	2	38	SH	SOLE	 	38	0	0
AGIOS PHARMACEUTICALS INC	COM	00847X104	79	1500	SH	DFND	1	0	0	1500
AGIOS PHARMACEUTICALS INC	COM	00847X104	17814	337255	SH	SOLE	 	299919	0	37336
AIR PRODUCTS  CHEMICALS INC	COM	009158106	3142	20900	SH	DFND	1	9100	0	11800
AIR PRODUCTS  CHEMICALS INC	COM	009158106	267533	1779504	SH	SOLE	 	1696988	0	82516
AKAMAI TECHNOLOGIES INC	COM	00971T101	1443	27239	SH	DFND	1	16839	0	10400
AKAMAI TECHNOLOGIES INC	COM	00971T101	13	249	SH	SOLE	 	249	0	0
AKORN INC	COM	009728106	117	4300	SH	DFND	1	100	0	4200
AKORN INC	COM	009728106	50373	1847886	SH	SOLE	 	1729322	0	118564
ALARM.COM HOLDINGS INC	COM	011642105	16922	586351	SH	SOLE	 	544352	0	41999
ALASKA AIR GROUP INC	COM	011659109	5740	87147	SH	DFND	1	37747	0	49400
ALASKA AIR GROUP INC	COM	011659109	1	18	SH	SOLE	 	18	0	0
ALBEMARLE CORP	COM	012653101	116659	1364593	SH	DFND	1	1053693	0	310900
ALBEMARLE CORP	COM	012653101	3	36	SH	SOLE	 	36	0	0
ALCOA INC	CPFD	013817309	8791	268925	SH	SOLE	 	268925	0	0
ALDER BIOPHARMACEUTICALS INC	COM	014339105	149723	4568883	SH	SOLE	 	4137899	0	430984
ALERE INC	COM	01449J105	233	5400	SH	DFND	1	800	0	4600
ALEXANDRIA REAL ESTATE EQUIT	COM	015271109	4971	45700	SH	DFND	1	27300	0	18400
ALEXANDRIA REAL ESTATE EQUIT	COM	015271109	2444	22471	SH	SOLE	 	22471	0	0
ALEXION PHARMACEUTICALS INC	COM	015351109	4148	33849	SH	DFND	1	15449	0	18400
ALEXION PHARMACEUTICALS INC	COM	015351109	100520	820298	SH	SOLE	 	743308	0	76990
ALIBABA GROUP HOLDING-SP ADR	ADR	01609W102	889	8400	SH	DFND	1	8300	0	100
ALIBABA GROUP HOLDING-SP ADR	ADR	01609W102	330668	3125680	SH	SOLE	 	3027972	0	97708
ALIGN TECHNOLOGY INC	COM	016255101	16191	172700	SH	DFND	1	82400	0	90300
ALIGN TECHNOLOGY INC	COM	016255101	155	1650	SH	SOLE	 	1650	0	0
ALKERMES PLC	COM	G01767105	16672	354500	SH	DFND	1	225900	0	128600
ALKERMES PLC	COM	G01767105	21474	456607	SH	SOLE	 	407488	0	49119
ALLEGHANY CORP	COM	017175100	7350	14000	SH	DFND	1	10000	0	4000
ALLEGION PLC	COM	G0176J109	45925	666444	SH	DFND	1	485582	0	180862
ALLEGION PLC	COM	G0176J109	140161	2033978	SH	SOLE	 	1948266	0	85712
ALLERGAN PLC	COM	G0177J108	69119	300111	SH	DFND	1	238109	0	62002
ALLERGAN PLC	COM	G0177J108	675816	2934372	SH	SOLE	 	2806542	0	127830
ALLIANCE DATA SYSTEMS CORP	COM	018581108	1330	6200	SH	DFND	1	2500	0	3700
ALLIANT ENERGY CORP	COM	018802108	66414	1733600	SH	DFND	1	1272700	0	460900
ALLIED WORLD ASSURANCE CO	COM	H01531104	1924	47600	SH	DFND	1	41200	0	6400
ALLISON TRANSMISSION HOLDING	COM	01973R101	399	13900	SH	DFND	1	5900	0	8000
ALLSCRIPTS HEALTHCARE SOLUTI	COM	01988P108	552	41900	SH	DFND	1	200	0	41700
ALLSTATE CORP	COM	020002101	166778	2410784	SH	DFND	1	1959952	0	450832
ALLY FINANCIAL INC	COM	02005N100	1908	98000	SH	DFND	1	32600	0	65400
ALNYLAM PHARMACEUTICALS INC	COM	02043Q107	454	6700	SH	DFND	1	2200	0	4500
ALNYLAM PHARMACEUTICALS INC	COM	02043Q107	33371	492337	SH	SOLE	 	445609	0	46728
ALON USA ENERGY INC	COM	020520102	247	30600	SH	DFND	1	30600	0	0
ALPHABET INC-CL A	COM	02079K305	132512	164803	SH	DFND	1	115903	0	48900
ALPHABET INC-CL A	COM	02079K305	132651	164977	SH	SOLE	 	82259	0	82718
ALPHABET INC-CL C	COM	02079K107	105928	136278	SH	DFND	1	95275	0	41003
ALPHABET INC-CL C	COM	02079K107	2513298	3233368	SH	SOLE	 	3010252	0	219338
ALTRIA GROUP INC	COM	02209S103	541159	8558582	SH	DFND	1	6669727	0	1888855
ALTRIA GROUP INC	COM	02209S103	724817	11463180	SH	SOLE	 	11359532	0	103648
AMAG PHARMACEUTICALS INC	COM	00163U106	85780	3499781	SH	SOLE	 	3207030	0	292751
AMAZON.COM INC	COM	023135106	485954	580375	SH	DFND	1	406475	0	173900
AMAZON.COM INC	COM	023135106	882551	1054217	SH	SOLE	 	963675	0	87219
AMC ENTERTAINMENT HLDS-CL A	COM	00165C104	74526	2397119	SH	SOLE	 	2239437	0	157682
AMC NETWORKS INC-A	COM	00164V103	472	9100	SH	DFND	1	4300	0	4800
AMC NETWORKS INC-A	COM	00164V103	54	1037	SH	SOLE	 	1037	0	0
AMDOCS LTD	COM	G02602103	8122	140400	SH	DFND	1	66800	0	73600
AMDOCS LTD	COM	G02602103	307756	5319879	SH	SOLE	 	4786415	0	533464
AMERCO	COM	023586100	3761	11600	SH	DFND	1	5600	0	6000
AMERCO	COM	023586100	459	1417	SH	SOLE	 	1417	0	0
AMEREN CORPORATION	COM	023608102	100027	2033900	SH	DFND	1	1513800	0	520100
AMERICAN AIRLINES GROUP INC	COM	02376R102	1710	46700	SH	DFND	1	14500	0	32200
AMERICAN AIRLINES GROUP INC	COM	02376R102	88420	2415199	SH	SOLE	 	2380998	0	34201
AMERICAN ASSETS TRUST INC	COM	024013104	2101	48424	SH	SOLE	 	48424	0	0
AMERICAN CAMPUS COMMUNITIES	COM	024835100	10968	215600	SH	DFND	1	98500	0	117100
AMERICAN CAMPUS COMMUNITIES	COM	024835100	17	344	SH	SOLE	 	344	0	0
AMERICAN CAPITAL AGENCY CORP	COM	02503X105	19384	992000	SH	DFND	1	375000	0	617000
AMERICAN CAPITAL AGENCY CORP	COM	02503X105	6147	314609	SH	SOLE	 	313609	0	1000
AMERICAN ELECTRIC POWER	COM	025537101	108660	1692267	SH	DFND	1	1208105	0	484162
AMERICAN ELECTRIC POWER	COM	025537101	15	236	SH	SOLE	 	36	0	200
AMERICAN EXPRESS CO	COM	025816109	6686	104400	SH	DFND	1	54819	0	49581
AMERICAN EXPRESS CO	COM	025816109	134221	2095886	SH	SOLE	 	2067224	0	28662
AMERICAN FINANCIAL GROUP INC	COM	025932104	5925	79000	SH	DFND	1	45900	0	33100
AMERICAN HOMES 4 RENT- A	COM	02665T306	1246	57600	SH	DFND	1	48000	0	9600
AMERICAN INTERNATIONAL GROUP	COM	026874784	41637	701666	SH	DFND	1	497766	0	203900
AMERICAN INTERNATIONAL GROUP	COM	026874784	8	142	SH	SOLE	 	142	0	0
AMERICAN RENAL ASSOCIATES HO	COM	029227105	13556	741962	SH	SOLE	 	659345	0	82617
AMERICAN TOWER CORP	COM	03027X100	44574	393308	SH	DFND	1	319308	0	74000
AMERICAN TOWER CORP	COM	03027X100	626611	5529061	SH	SOLE	 	5198370	0	330691
AMERICAN WATER WORKS CO INC	COM	030420103	208378	2784316	SH	DFND	1	1968476	0	815840
AMERICAN WATER WORKS CO INC	COM	030420103	22	300	SH	SOLE	 	0	0	300
AMERIPRISE FINANCIAL INC	COM	03076C106	2317	23220	SH	DFND	1	11984	0	11236
AMERISOURCEBERGEN CORP	COM	03073E105	71174	881084	SH	DFND	1	529636	0	351448
AMERISOURCEBERGEN CORP	COM	03073E105	100783	1247626	SH	SOLE	 	1130660	0	116966
AMETEK INC	COM	031100100	5433	113710	SH	DFND	1	62510	0	51200
AMETEK INC	COM	031100100	61856	1294607	SH	SOLE	 	1196961	0	97646
AMGEN INC	COM	031162100	55537	332934	SH	DFND	1	211234	0	121700
AMGEN INC	COM	031162100	1103229	6613670	SH	SOLE	 	6389451	0	224219
AMICUS THERAPEUTICS INC	COM	03152W109	57040	7708080	SH	SOLE	 	7057268	0	650812
AMPHENOL CORP-CL A	COM	032095101	43357	667849	SH	DFND	1	433849	0	234000
AMPHENOL CORP-CL A	COM	032095101	474080	7302503	SH	SOLE	 	6211185	0	1091318
AMPLIFY SNACK BRANDS INC	COM	03211L102	23932	1477266	SH	SOLE	 	1369432	0	107834
AMSURG CORP	COM	03232P405	402	6000	SH	DFND	1	100	0	5900
AMTRUST FINANCIAL SERVICES	COM	032359309	456	17000	SH	DFND	1	300	0	16700
AMTRUST FINANCIAL SERVICES	COM	032359309	83	3097	SH	SOLE	 	3097	0	0
ANADARKO PETROLEUM CORP	COM	032511107	3752	59219	SH	DFND	1	24219	0	35000
ANADARKO PETROLEUM CORP	COM	032511107	193280	3050489	SH	SOLE	 	2878684	0	171805
ANALOG DEVICES INC	COM	032654105	2539	39400	SH	DFND	1	18200	0	21200
ANALOG DEVICES INC	COM	032654105	13617	211282	SH	SOLE	 	117952	0	93330
ANNALY CAPITAL MANAGEMENT IN	COM	035710409	40830	3888600	SH	DFND	1	1598500	0	2290100
ANNALY CAPITAL MANAGEMENT IN	COM	035710409	4222	402086	SH	SOLE	 	398586	0	3500
ANSYS INC	COM	03662Q105	9298	100400	SH	DFND	1	56300	0	44100
ANSYS INC	COM	03662Q105	27508	297026	SH	SOLE	 	272255	0	24771
ANTARES PHARMA INC	COM	036642106	564	335795	SH	SOLE	 	335795	0	0
ANTERO RESOURCES CORP	COM	03674X106	2129	79000	SH	DFND	1	53200	0	25800
ANTERO RESOURCES CORP	COM	03674X106	26170	971044	SH	SOLE	 	971044	0	0
ANTHEM INC	COM	036752103	128697	1027029	SH	DFND	1	751638	0	275391
ANTHEM INC	COM	036752103	42	333	SH	SOLE	 	33	0	300
AON PLC	COM	G0408V102	36463	324141	SH	DFND	1	212541	0	111600
AON PLC	COM	G0408V102	188174	1672809	SH	SOLE	 	1548445	0	124364
APACHE CORP	COM	037411105	91083	1426072	SH	DFND	1	1113572	0	312500
APACHE CORP	COM	037411105	9	145	SH	SOLE	 	145	0	0
APARTMENT INVT  MGMT CO -A	COM	03748R101	24452	532600	SH	DFND	1	401700	0	130900
APPLE HOSPITALITY REIT INC	COM	03784Y200	598	32300	SH	DFND	1	12900	0	19400
APPLE INC	COM	037833100	739381	6540300	SH	DFND	1	4583468	0	1956832
APPLE INC	COM	037833100	1436928	12710471	SH	SOLE	 	11681702	0	1016247
APPLIED MATERIALS INC	COM	038222105	135840	4505479	SH	DFND	1	3457079	0	1048400
APPLIED MATERIALS INC	COM	038222105	31	1042	SH	SOLE	 	1042	0	0
APPTIO INC - CLASS A	COM	03835C108	13002	599149	SH	SOLE	 	364147	0	235002
APTARGROUP INC	COM	038336103	7292	94200	SH	DFND	1	40000	0	54200
AQUA AMERICA INC	COM	03836W103	11332	371800	SH	DFND	1	189800	0	182000
ARAMARK	COM	03852U106	2061	54200	SH	DFND	1	24800	0	29400
ARAMARK	COM	03852U106	209068	5497453	SH	SOLE	 	5275857	0	221596
ARATANA THERAPEUTICS INC	COM	03874P101	5824	622183	SH	SOLE	 	575381	0	46802
ARCH CAPITAL GROUP LTD	COM	G0450A105	30737	387800	SH	DFND	1	136100	0	251700
ARCH CAPITAL GROUP LTD	COM	G0450A105	24	300	SH	SOLE	 	0	0	300
ARCHER-DANIELS-MIDLAND CO	COM	039483102	7846	186059	SH	DFND	1	145759	0	40300
ARCHER-DANIELS-MIDLAND CO	COM	039483102	1	23	SH	SOLE	 	23	0	0
ARENA PHARMACEUTICALS INC	COM	040047102	19	11031	SH	SOLE	 	11031	0	0
ARISTA NETWORKS INC	COM	040413106	187	2200	SH	DFND	1	100	0	2100
ARISTA NETWORKS INC	COM	040413106	277	3251	SH	SOLE	 	3251	0	0
ARMADA HOFFLER PROPERTIES IN	COM	04208T108	7268	542415	SH	SOLE	 	542415	0	0
ARROW ELECTRONICS INC	COM	042735100	19901	311100	SH	DFND	1	238200	0	72900
ARTHUR J GALLAGHER  CO	COM	363576109	16138	317242	SH	DFND	1	245342	0	71900
ARTHUR J GALLAGHER  CO	COM	363576109	15	289	SH	SOLE	 	289	0	0
ARTISAN PARTNERS ASSET MA -A	COM	04316A108	5	200	SH	DFND	1	0	0	200
ARTISAN PARTNERS ASSET MA -A	COM	04316A108	371	13627	SH	SOLE	 	13627	0	0
ASCENDIS PHARMA A/S - ADR	ADR	04351P101	13025	647997	SH	SOLE	 	647997	0	0
ASHLAND GLOBAL HOLDINGS INC	COM	044186104	3397	29300	SH	DFND	1	16300	0	13000
ASML HOLDING NV-NY REG SHS	COM	N07059210	4154	37903	SH	SOLE	 	21057	0	16846
ASPEN INSURANCE HOLDINGS LTD	COM	G05384105	1342	28800	SH	DFND	1	9500	0	19300
ASPEN TECHNOLOGY INC	COM	045327103	61658	1317754	SH	SOLE	 	1150291	0	167463
ASSOCIATED BANC-CORP	COM	045487105	987	50400	SH	DFND	1	10600	0	39800
ASSURANT INC	COM	04621X108	86347	936013	SH	DFND	1	688013	0	248000
ASSURANT INC	COM	04621X108	0	5	SH	SOLE	 	5	0	0
ASSURED GUARANTY LTD	COM	G0585R106	1879	67700	SH	DFND	1	29100	0	38600
ASTRAZENECA PLC	ADR	046353108	20042	609927	SH	SOLE	 	609927	0	0
ATT INC	COM	00206R102	247582	6096582	SH	DFND	1	4165077	0	1931505
ATT INC	COM	00206R102	10	258	SH	SOLE	 	258	0	0
ATHENAHEALTH INC	COM	04685W103	467	3700	SH	DFND	1	100	0	3600
ATHENAHEALTH INC	COM	04685W103	612479	4856308	SH	SOLE	 	4551642	0	304666
ATLASSIAN CORP PLC-CLASS A	COM	G06242104	92880	3099087	SH	SOLE	 	2865446	0	233641
ATMOS ENERGY CORP	COM	049560105	50684	680600	SH	DFND	1	412900	0	267700
ATMOS ENERGY CORP	COM	049560105	15	200	SH	SOLE	 	0	0	200
ATRION CORPORATION	COM	049904105	11952	28018	SH	SOLE	 	25926	0	2092
AUTODESK INC	COM	052769106	7431	102736	SH	DFND	1	82436	0	20300
AUTODESK INC	COM	052769106	7	92	SH	SOLE	 	92	0	0
AUTOLIV INC	COM	052800109	8437	79000	SH	DFND	1	56700	0	22300
AUTOMATIC DATA PROCESSING	COM	053015103	200556	2273881	SH	DFND	1	1671960	0	601921
AUTOMATIC DATA PROCESSING	COM	053015103	155149	1759061	SH	SOLE	 	1759061	0	0
AUTONATION INC	COM	05329W102	1734	35600	SH	DFND	1	26000	0	9600
AUTOZONE INC	COM	053332102	169608	220746	SH	DFND	1	156746	0	64000
AUTOZONE INC	COM	053332102	73546	95721	SH	SOLE	 	92718	0	3003
AVALONBAY COMMUNITIES INC	COM	053484101	155441	874052	SH	DFND	1	631909	0	242143
AVALONBAY COMMUNITIES INC	COM	053484101	3810	21424	SH	SOLE	 	21224	0	200
AVERY DENNISON CORP	COM	053611109	102087	1312341	SH	DFND	1	968241	0	344100
AVERY DENNISON CORP	COM	053611109	22	288	SH	SOLE	 	288	0	0
AVEXIS INC	COM	05366U100	25207	611662	SH	SOLE	 	547475	0	64187
AVIS BUDGET GROUP INC	COM	053774105	202	5900	SH	DFND	1	100	0	5800
AVNET INC	COM	053807103	8844	215400	SH	DFND	1	133200	0	82200
AXALTA COATING SYSTEMS LTD	COM	G0750C108	212	7500	SH	DFND	1	2200	0	5300
AXIS CAPITAL HOLDINGS LTD	COM	G0692U109	21080	388000	SH	DFND	1	128400	0	259600
AXOVANT SCIENCES LTD	COM	G0750W104	61854	4418127	SH	SOLE	 	4026263	0	391864
B/E AEROSPACE INC	COM	073302101	666	12900	SH	DFND	1	7300	0	5600
BAIDU INC - SPON ADR	ADR	056752108	455	2500	SH	DFND	1	2500	0	0
BAIDU INC - SPON ADR	ADR	056752108	2305	12658	SH	SOLE	 	12658	0	0
BAKER HUGHES INC	COM	057224107	2916	57768	SH	DFND	1	27168	0	30600
BAKER HUGHES INC	COM	057224107	9	183	SH	SOLE	 	183	0	0
BALL CORP	COM	058498106	84200	1027452	SH	DFND	1	786009	0	241443
BALL CORP	COM	058498106	251596	3070110	SH	SOLE	 	3046547	0	23563
BANK OF AMERICA CORP	COM	060505104	31218	1994777	SH	DFND	1	1166991	0	827786
BANK OF AMERICA CORP	COM	060505104	1	81	SH	SOLE	 	81	0	0
BANK OF HAWAII CORP	COM	062540109	3399	46800	SH	DFND	1	22900	0	23900
BANK OF NEW YORK MELLON CORP	COM	064058100	36280	909732	SH	DFND	1	767523	0	142209
BANK OF NEW YORK MELLON CORP	COM	064058100	5	121	SH	SOLE	 	121	0	0
BANK OF THE OZARKS	COM	063904106	25945	675649	SH	SOLE	 	629098	0	46551
BANKUNITED INC	COM	06652K103	2045	67700	SH	DFND	1	36400	0	31300
BAXTER INTERNATIONAL INC	COM	071813109	59093	1241457	SH	DFND	1	935857	0	305600
BAXTER INTERNATIONAL INC	COM	071813109	46680	980670	SH	SOLE	 	875945	0	104725
BBT CORP	COM	054937107	6450	171000	SH	DFND	1	74900	0	96100
BECTON DICKINSON AND CO	COM	075887109	203184	1130497	SH	DFND	1	879552	0	250945
BECTON DICKINSON AND CO	COM	075887109	2	9	SH	SOLE	 	9	0	0
BED BATH  BEYOND INC	COM	075896100	5019	116429	SH	DFND	1	103129	0	13300
BED BATH  BEYOND INC	COM	075896100	14	323	SH	SOLE	 	323	0	0
BELDEN INC	COM	077454106	313489	4543976	SH	SOLE	 	4126182	0	417794
BEMIS COMPANY	COM	081437105	6759	132500	SH	DFND	1	43100	0	89400
BERKSHIRE HATHAWAY INC-CL B	COM	084670702	190547	1318936	SH	DFND	1	859945	0	458991
BERKSHIRE HATHAWAY INC-CL B	COM	084670702	4	30	SH	SOLE	 	30	0	0
BERRY PLASTICS GROUP INC	COM	08579W103	579	13200	SH	DFND	1	200	0	13000
BEST BUY CO INC	COM	086516101	3948	103400	SH	DFND	1	83000	0	20400
BIGLARI HOLDINGS INC	COM	08986R101	47574	109110	SH	SOLE	 	99661	0	9449
BIOGEN INC	COM	09062X103	6499	20760	SH	DFND	1	9260	0	11500
BIOGEN INC	COM	09062X103	196846	628838	SH	SOLE	 	576583	0	52255
BIOMARIN PHARMACEUTICAL INC	COM	09061G101	2035	22000	SH	DFND	1	10700	0	11300
BIO-RAD LABORATORIES-A	COM	090572207	1196	7300	SH	DFND	1	5900	0	1400
BIO-TECHNE CORP	COM	09073M104	8421	76900	SH	DFND	1	40200	0	36700
BIO-TECHNE CORP	COM	09073M104	103233	942766	SH	SOLE	 	870177	0	72589
BLACKBAUD INC	COM	09227Q100	268860	4052765	SH	SOLE	 	3714759	0	338006
BLACKROCK CREDIT ALLOCATION	COM	092508100	1301	97425	SH	SOLE	 	97425	0	0
BLACKROCK INC	COM	09247X101	57957	159900	SH	DFND	1	132200	0	27700
BLACKROCK INC	COM	09247X101	47936	132253	SH	SOLE	 	123265	0	8988
BLACKROCK LTD DURATION INC	COM	09249W101	83	5375	SH	DFND	1	5375	0	0
BLACKROCK LTD DURATION INC	COM	09249W101	91	5844	SH	SOLE	 	5844	0	0
BLACKROCK TAXABLE MUNICIPAL	COM	09248X100	13374	557929	SH	SOLE	 	557929	0	0
BLACKSTONE GROUP LP/THE	COM	09253U108	468230	18340389	SH	SOLE	 	17921072	0	419317
BOEING CO/THE	COM	097023105	33421	253692	SH	DFND	1	141224	0	112468
BOEING CO/THE	COM	097023105	840645	6381095	SH	SOLE	 	6381095	0	0
BOOZ ALLEN HAMILTON HOLDINGS	COM	099502106	6369	201500	SH	DFND	1	110100	0	91400
BORGWARNER INC	COM	099724106	890	25300	SH	DFND	1	11800	0	13500
BOSTON PRIVATE FINL HOLDING	COM	101119105	322	25100	SH	DFND	1	25100	0	0
BOSTON PROPERTIES INC	COM	101121101	19489	143000	SH	DFND	1	101200	0	41800
BOSTON PROPERTIES INC	COM	101121101	5505	40392	SH	SOLE	 	40392	0	0
BOSTON SCIENTIFIC CORP	COM	101137107	61326	2576738	SH	DFND	1	1981738	0	595000
BOSTON SCIENTIFIC CORP	COM	101137107	778345	32709077	SH	SOLE	 	30681974	0	1953898
BP PLC-SPONS ADR	ADR	055622104	292	8300	SH	DFND	1	8300	0	0
BRANDYWINE REALTY TRUST	COM	105368203	3043	194800	SH	DFND	1	55700	0	139100
BRINKER INTERNATIONAL INC	COM	109641100	948	18800	SH	DFND	1	14500	0	4300
BRISTOL-MYERS SQUIBB CO	COM	110122108	49971	926771	SH	DFND	1	605671	0	321100
BRISTOL-MYERS SQUIBB CO	COM	110122108	1166048	21626754	SH	SOLE	 	20775052	0	828957
BRIXMOR PROPERTY GROUP INC	COM	11120U105	33404	1202000	SH	DFND	1	859400	0	342600
BROADCOM LTD	COM	Y09827109	255495	1480957	SH	DFND	1	1115748	0	365209
BROADCOM LTD	COM	Y09827109	2	9	SH	SOLE	 	9	0	0
BROADRIDGE FINANCIAL SOLUTIO	COM	11133T103	34471	508500	SH	DFND	1	297700	0	210800
BROADRIDGE FINANCIAL SOLUTIO	COM	11133T103	425668	6279221	SH	SOLE	 	5900795	0	378426
BROCADE COMMUNICATIONS SYS	COM	111621306	204	22100	SH	DFND	1	400	0	21700
BROOKDALE SENIOR LIVING INC	COM	112463104	86	4900	SH	DFND	1	100	0	4800
BROOKDALE SENIOR LIVING INC	COM	112463104	124	7103	SH	SOLE	 	7103	0	0
BROOKFIELD ASSET MANAGE-CL A	COM	112585104	32741	930674	SH	SOLE	 	882393	0	48281
BROOKFIELD INFRASTRUCTURE PA	COM	G16252101	67255	1941525	SH	SOLE	 	1941525	0	0
BROWN  BROWN INC	COM	115236101	1531	40600	SH	DFND	1	26000	0	14600
BROWN-FORMAN CORP-CLASS A	COM	115637100	2473	49700	SH	DFND	1	24600	0	25100
BROWN-FORMAN CORP-CLASS B	COM	115637209	32013	674800	SH	DFND	1	452600	0	222200
BRUKER CORP	COM	116794108	9617	424600	SH	DFND	1	202800	0	221800
BRUNSWICK CORP	COM	117043109	961	19700	SH	DFND	1	8000	0	11700
BRUNSWICK CORP	COM	117043109	64	1302	SH	SOLE	 	1302	0	0
BUNGE LTD	COM	G16962105	1096	18500	SH	DFND	1	9700	0	8800
BURLINGTON STORES INC	COM	122017106	2949	36400	SH	DFND	1	20200	0	16200
BURLINGTON STORES INC	COM	122017106	100	1235	SH	SOLE	 	1235	0	0
BWX TECHNOLOGIES INC	COM	05605H100	15525	404600	SH	DFND	1	224700	0	179900
C.H. ROBINSON WORLDWIDE INC	COM	12541W209	53937	765500	SH	DFND	1	589300	0	176200
C.H. ROBINSON WORLDWIDE INC	COM	12541W209	17	239	SH	SOLE	 	39	0	200
CA INC	COM	12673P105	7909	239100	SH	DFND	1	178000	0	61100
CABELAS INC	COM	126804301	165	3000	SH	DFND	1	400	0	2600
CABELAS INC	COM	126804301	39	703	SH	SOLE	 	703	0	0
CABLE ONE INC	COM	12685J105	1869	3200	SH	DFND	1	3000	0	200
CABOT CORP	COM	127055101	5791	110500	SH	DFND	1	51500	0	59000
CABOT OIL  GAS CORP	COM	127097103	6621	256614	SH	DFND	1	225414	0	31200
CABOT OIL  GAS CORP	COM	127097103	13	512	SH	SOLE	 	512	0	0
CADENCE DESIGN SYS INC	COM	127387108	30827	1207500	SH	DFND	1	686500	0	521000
CADENCE DESIGN SYS INC	COM	127387108	573577	22466781	SH	SOLE	 	20253209	0	2213572
CALLIDUS SOFTWARE INC	COM	13123E500	39528	2154139	SH	SOLE	 	2014980	0	139159
CALPINE CORP	COM	131347304	426	33700	SH	DFND	1	18600	0	15100
CAMDEN PROPERTY TRUST	COM	133131102	23556	281300	SH	DFND	1	224200	0	57100
CAMDEN PROPERTY TRUST	COM	133131102	2731	32613	SH	SOLE	 	32613	0	0
